Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
,,,1,,404.13,810.19,312.12,2.364,7.26885,53.9838,31.9044,201.218,238.476,3,219.72,0.906022,47,,,,,,,,,0,1.00064,,,,
,,,1,,404.13,810.19,312.12,2.488,5.75556,44.9871,27.982,205.039,244.232,3,199.27,0.933112,45,,,,,,,,,0,1.00605,,,,
,,,1,,404.13,810.19,312.12,2.766,6.18083,53.7092,37.1399,208.816,250.413,3,13.03,0.991817,4,,,,,,,,,0,1.01027,,,,
,,,1,,404.13,810.19,312.12,2.914,5.81339,53.2193,38.7702,212.939,256.226,3,20.51,0.955255,6,,,,,,,,,0,1.02337,,,,
,,,1,,404.13,810.19,312.12,2.934,5.53913,51.0566,37.45,217.352,261.765,3,311.39,0.935762,74,,,,,,,,,0,1.00491,,,,
,,,1,,404.13,810.19,312.12,2.816,5.52415,48.8706,34.4049,222.065,267.289,3,34.74,0.884695,9,,,,,,,,,0,1.0063,,,,
,,,1,,404.13,810.19,312.12,2.802,5.58507,49.1639,34.4393,226.879,272.874,3,31.45,0.929233,7,,,,,,,,,0,1.02997,,,,
,,,1,,404.13,810.19,312.12,2.9,5.33325,48.5892,35.2272,231.562,278.208,3,26.57,0.998107,5,,,,,,,,,0,1.00318,,,,
,,,1,,404.13,810.19,312.12,2.906,5.65877,51.6616,37.5321,236.566,283.866,3,21.16,0.990865,6,,,,,,,,,0,1.00451,,,,
,,,1,,404.13,810.19,312.12,2.85,4.81038,43.07,30.6874,241.104,288.677,3,9.61,0.996107,3,,,,,,,,,-0.01,1.01002,,,,
,,,1,,404.13,810.19,312.12,2.59,4.09395,33.3113,21.5691,244.739,292.771,3,13.09,0.999087,3,,,,,,,,,0,1.01786,,,,
,,,1,,404.13,810.19,312.12,2.294,3.9119,28.1924,16.1683,248.293,296.683,3,20.89,0.970234,6,,,,,,,,,0,1.00384,,,,
,,,1,,404.13,810.19,312.12,2.006,3.76237,23.7106,11.8908,251.546,300.445,3,27.05,0.998903,4,,,,,,,,,-0.01,1.02159,,,,
,,,1,,404.13,810.19,312.12,1.56,4.01241,19.6643,7.66909,254.605,304.457,3,18.31,0.978054,5,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,0.908,5.03685,14.368,3.26153,257.936,309.494,3,150.47,0.907351,37,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,3.604,3.3005,37.3693,33.6697,128.021,145.078,3,178.02,0.84104,43,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,3.494,2.49046,27.3371,23.879,129.341,147.569,3,129.34,0.956124,23,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,3.108,4.20641,41.0717,31.9127,131.83,151.775,3,163.88,0.971896,24,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,2.758,3.40486,29.5015,20.3413,134.425,155.18,3,97.86,0.889294,18,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,2.676,3.42896,28.827,19.2852,137.595,158.609,3,30.18,0.9881,6,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,2.654,3.63997,30.3493,20.1368,141.078,162.249,3,122.02,0.854184,27,,,,,,,,,0.01,,,,,
,,,1,,404.13,810.19,312.12,2.688,3.87461,32.7195,21.9875,144.692,166.124,3,184.32,0.950166,38,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,2.736,3.75533,32.2786,22.0785,148.315,169.879,3,74.51,0.816359,19,,,,,,,,,0.01,,,,,
,,,1,,404.13,810.19,312.12,2.766,3.4133,29.6603,20.5101,151.691,173.292,3,82.66,0.962162,18,,,,,,,,,-0.01,,,,,
,,,1,,404.13,810.19,312.12,2.858,3.35996,30.1679,21.555,154.888,176.652,3,129.89,0.894078,33,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.886,3.50044,31.7372,22.8984,158.384,180.153,3,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.734,4.06127,34.8827,23.8423,162.33,184.214,3,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.646,4.39637,36.5455,24.1749,166.7,188.61,3,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.744,4.46499,38.4905,26.4045,171.102,193.075,3,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.834,4.01188,35.7189,25.3068,174.905,197.087,3,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.872,3.78989,34.1949,24.5519,178.336,200.877,3,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.97,29.5963,462.108,574.17,29.5963,29.5963,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.884,2.28694,35.0898,42.8446,31.8439,31.8832,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.71,4.59103,67.9331,79.9912,36.3708,36.4743,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.536,4.59103,65.4235,74.1902,40.912,41.0653,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.234,5.47447,72.8187,77.0785,46.3614,46.5398,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.676,7.27918,84.0636,77.2544,53.612,53.819,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.12,7.14307,70.0147,54.6115,60.5968,60.962,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.936,5.11831,47.2098,34.652,65.0316,66.0803,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.062,4.08836,39.3282,30.1058,67.7827,70.1687,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.158,4.06021,40.2819,31.8026,70.6364,74.2289,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.112,3.97184,38.8312,30.2107,74.2396,78.2008,0,,,,,,,,,,,,0.01,,,,,
,,,,,404.13,810.19,312.12,3.03,4.44781,42.3388,32.0716,78.6781,82.6486,0,,,,,,,,,,,,0.01,,,,,
,,,,,404.13,810.19,312.12,2.972,5.55667,51.8816,38.548,84.1137,88.2052,0,,,,,,,,,,,,0.01,,,,,
,,,,,404.13,810.19,312.12,2.944,4.84857,44.8437,33.0049,88.8512,93.0538,0,,,,,,,,,,,,-0.02,,,,,
,,,,,404.13,810.19,312.12,2.948,3.24595,30.0621,22.1558,91.2244,96.2998,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.768,3.7097,32.2593,22.3234,94.0156,100.009,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.382,5.63568,42.1733,25.1142,99.6392,105.645,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.258,6.35806,45.1023,25.4602,105.92,112.003,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.22,5.23264,36.4942,20.2543,111.012,117.236,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.12,4.25457,28.3362,15.0182,115.2,121.49,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.024,3.78694,24.0796,12.1843,118.309,125.277,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.722,17.6239,261.444,308.634,17.6239,17.6239,0,,,,,,,,,,,,-0.01,,,,,
,,,,,404.13,810.19,312.12,4.608,1.60558,23.2432,26.7761,18.9627,19.2295,0,,,,,,,,,,,,-0.01,,,,,
,,,,,404.13,810.19,312.12,4.378,3.21328,44.1952,48.3716,21.7477,22.4428,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,4.148,3.20053,41.7072,43.2503,24.626,25.6433,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.806,3.56281,42.6001,40.534,28.0961,29.2061,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.232,4.82403,48.9814,39.577,32.6721,34.0302,0,,,,,,,,,,,,0.02,,,,,
,,,,,404.13,810.19,312.12,2.788,5.0834,44.5243,31.0335,37.444,39.1136,0,,,,,,,,,,,,-0.02,,,,,
,,,,,404.13,810.19,312.12,2.614,4.64012,38.1052,24.9018,41.4095,43.7537,0,,,,,,,,,,,,0.02,,,,,
,,,,,404.13,810.19,312.12,2.23,4.67362,32.7422,18.2538,44.8339,48.4273,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,1.9,4.08932,24.4092,11.5944,48.2574,52.5166,0,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.19,4.48719,30.8723,16.9026,52.5332,57.0038,0,,,,,,,,,,,,0.03,,,,,
,,,,,404.13,810.19,312.12,2.812,5.76456,50.925,35.8003,57.7901,62.7684,0,,,,,,,,,,,,-0.07,,,,,
,,,,,404.13,810.19,312.12,2.632,4.10646,33.955,22.3424,58.6099,66.8748,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.36,3.85685,28.5953,16.8712,60.0083,70.7317,1,,,,,,,,,,,,0.04,,,,,
,,,,,404.13,810.19,312.12,1.398,6.476,28.4423,9.94057,63.6464,77.2077,1,,,,,,,,,,,,0.02,,,,,
,,,,,404.13,810.19,312.12,0.708,2.83108,6.29702,1.11457,65.7372,80.0388,1,,,,,,,,,,,,0.03,,,,,
,,,,,404.13,810.19,312.12,3.076,1.64809,15.9264,12.2474,59.0392,64.4165,1,,,,,,,,,,,,-0.01,,,,,
,,,,,404.13,810.19,312.12,3.178,3.05174,30.4685,24.2072,61.8317,67.4682,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.86,3.22634,28.9886,20.7268,64.8765,70.6945,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.592,3.80092,30.9509,20.0562,67.8594,74.4955,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.52,4.25842,33.7131,21.2392,71.0357,78.7539,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.488,3.81022,29.7818,18.5243,74.5275,82.5641,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.13,810.19,312.12,2.562,4.15252,33.4226,21.4072,78.0515,86.7166,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.13,810.19,312.12,2.678,4.83754,40.6991,27.2481,81.6455,91.5542,1,,,,,,,,,,,,0.02,,,,,
,,,,,404.13,810.19,312.12,2.512,4.14565,32.7161,20.5457,85.0681,95.6998,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.248,4.04532,28.5693,16.0559,88.2555,99.7451,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.31,4.16542,30.2288,17.4571,91.5137,103.911,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.594,3.59603,29.3051,19.0043,94.9378,107.507,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.704,3.59885,30.5717,20.6665,98.5139,111.105,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.758,3.40367,29.4912,20.3342,101.762,114.509,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.786,3.81942,33.4294,23.2836,105.369,118.329,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.02,4.2404,40.2313,30.3746,109.343,122.569,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.324,4.89264,51.0921,42.4576,113.839,127.462,1,,,,,,,,,,,,-0.01,,,,,
,,,,,404.13,810.19,312.12,3.626,5.05863,57.6249,52.237,118.749,132.52,1,,,,,,,,,,,,-0.01,,,,,
,,,,,404.13,810.19,312.12,3.856,4.10901,49.7765,47.9846,122.711,136.629,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,3.832,3.48226,41.9214,40.1607,126.041,140.111,1,,,,,,,,,,,,-0.03,,,,,
,,,,,404.13,810.19,312.12,3.726,3.82071,44.7236,41.66,129.812,143.932,1,,,,,,,,,,,,-0.03,,,,,
,,,,,404.13,810.19,312.12,3.536,4.23289,47.0218,41.5673,134.029,148.165,1,,,,,,,,,,,,-0.05,,,,,
,,,,,404.13,810.19,312.12,3.034,4.81777,45.921,34.8311,138.716,152.983,1,,,,,,,,,,,,-0.05,,,,,
,,,,,404.13,810.19,312.12,2.87,4.33465,39.0828,28.0419,143.013,157.317,1,,,,,,,,,,,,-0.02,,,,,
,,,,,404.13,810.19,312.12,3.058,4.23778,40.7123,31.1246,146.113,161.555,1,,,,,,,,,,,,0,,,,,
,,,,,404.13,810.19,312.12,2.862,3.77327,33.9264,24.2743,149.447,165.329,1,,,,,,,,,,,,0,,,,,
