Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
,,,1,,404.1,810.1,313.33,3.03,4.68172,44.5654,33.7583,200.233,238.754,2,189.69,0.902005,45,,,,,,,,,0,1.03489,,,,
,,,1,,404.1,810.1,313.33,2.848,4.72587,42.2835,30.1059,204.645,243.48,2,27.21,0.999009,4,,,,,,,,,0.01,1.01867,,,,
,,,1,,404.1,810.1,313.33,2.954,4.36939,40.5491,29.9455,208.814,247.85,2,41.16,0.890552,12,,,,,,,,,0,1.00812,,,,
,,,1,,404.1,810.1,313.33,3.156,4.55712,45.1832,35.6495,212.399,252.407,2,74.12,0.891176,18,,,,,,,,,0,1.01021,,,,
,,,1,,404.1,810.1,313.33,3.258,4.31719,44.1877,35.9909,215.702,256.724,2,91.85,0.8273,24,,,,,,,,,0,1.01531,,,,
,,,1,,404.1,810.1,313.33,3.44,3.48576,37.6708,32.3969,219.048,260.21,2,15.64,0.991644,4,,,,,,,,,-0.01,1.00565,,,,
,,,1,,404.1,810.1,313.33,3.638,3.32761,38.0317,34.5898,222.171,263.537,2,39.68,0.882315,10,,,,,,,,,0,1.00934,,,,
,,,1,,404.1,810.1,313.33,3.664,3.33871,38.4312,35.203,225.326,266.876,2,220.32,0.899395,55,,,,,,,,,0,1.01565,,,,
,,,1,,404.1,810.1,313.33,3.624,3.76755,42.894,38.862,228.961,270.644,2,16.31,0.994868,3,,,,,,,,,0,1.01424,,,,
,,,1,,404.1,810.1,313.33,3.576,4.40119,49.4445,44.2034,233.305,275.045,2,518.49,0.961737,118,,,,,,,,,0,1.01999,,,,
,,,1,,404.1,810.1,313.33,3.44,3.62478,39.1732,33.689,236.928,278.67,2,62.41,0.946195,17,,,,,,,,,0,1.03174,,,,
,,,1,,404.1,810.1,313.33,3.258,3.31753,33.9559,27.6571,240.012,281.987,2,65.91,0.940241,17,,,,,,,,,-0.02,1.02008,,,,
,,,1,,404.1,810.1,313.33,3.128,3.88697,38.1968,29.8699,243.2,285.874,2,92.2,0.971934,16,,,,,,,,,-0.01,1.01231,,,,
,,,1,,404.1,810.1,313.33,2.974,3.41789,31.9337,23.7427,246.407,289.292,2,41.33,0.943174,10,,,,,,,,,-0.01,1.00535,,,,
,,,1,,404.1,810.1,313.33,2.832,3.24918,28.908,20.4668,249.439,292.541,2,12.24,0.995625,3,,,,,,,,,0.01,1.01514,,,,
,,,1,,404.1,810.1,313.33,2.962,3.4482,32.0869,23.7603,252.737,295.989,2,9.66,0.987907,3,,,,,,,,,0.03,1.01897,,,,
,,,1,,404.1,810.1,313.33,3.272,4.92952,50.672,41.4497,256.928,300.919,2,96.69,0.863978,19,,,,,,,,,0.03,1.01292,,,,
,,,1,,404.1,810.1,313.33,3.3,5.38781,55.8568,46.0819,261.581,306.307,2,59.7,0.916949,17,,,,,,,,,0.03,1.00775,,,,
,,,1,,404.1,810.1,313.33,2.994,4.79129,45.0666,33.7323,266.119,311.098,2,14.99,0.956469,3,,,,,,,,,0,1.02347,,,,
,,,1,,404.1,810.1,313.33,2.728,4.37644,37.5072,25.5799,270.074,315.474,2,14.54,0.890626,5,,,,,,,,,0,1.00123,,,,
,,,1,,404.1,810.1,313.33,2.32,4.23476,30.865,17.9017,273.665,319.709,2,209.32,0.872011,45,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,1.564,4.44708,21.8505,8.54354,277.633,324.156,2,62.76,0.920688,12,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,1.142,2.33131,8.36403,2.38793,279.763,326.488,2,137.14,0.951828,34,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,3.286,2.58753,26.7118,21.9437,164.619,199.088,2,17.27,0.97706,4,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,3.106,2.53087,24.6957,19.1762,164.978,201.619,2,125.24,0.944373,21,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,2.806,5.99531,52.8505,37.0746,166.645,207.614,2,59.7,0.909436,11,,,,,,,,,0.01,,,,,
,,,1,,404.1,810.1,313.33,2.546,6.29492,50.3499,32.0477,169.687,213.909,2,9.11,0.95473,3,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,2.286,5.05301,36.2891,20.7392,173.2,218.962,2,72.94,0.936443,21,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,2.176,4.17911,28.5689,15.5415,176.332,223.141,2,59.09,0.938986,16,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,2.234,4.01419,28.1728,15.7345,179.743,227.155,2,167.72,0.842454,37,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,2.356,4.36921,32.3391,19.0477,183.774,231.524,2,3.7,1,1,,,,,,,,,0,,,,,
,,,1,,404.1,810.1,313.33,2.41,4.7229,35.7582,21.5443,187.939,236.247,2,19.62,0.992308,5,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.352,4.52913,33.4658,19.6779,191.791,240.776,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.338,4.77184,35.0494,20.4864,195.783,245.548,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.438,5.20192,39.8426,24.2841,199.968,250.75,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.58,4.68807,37.9983,24.5089,203.581,255.438,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.666,4.18159,35.0229,23.3427,206.645,259.62,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.638,4.20482,34.8475,22.9819,209.628,263.825,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.508,4.43307,34.9287,21.9003,213.256,268.258,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.162,5.04062,34.2365,18.5048,217.765,273.298,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,1.526,5.88191,28.1983,10.7577,222.663,279.18,2,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,4.208,4.1501,54.8635,57.7164,106.554,126.176,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,4.108,4.14577,53.5039,54.9485,108.975,130.321,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.922,7.3606,90.6924,88.9239,114.121,137.682,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.768,5.82709,68.9783,64.9776,119.368,143.509,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.664,4.93138,56.7641,51.9959,124.122,148.44,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.628,4.03213,45.957,41.683,127.858,152.473,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.57,3.42651,38.43,34.2988,131.037,155.899,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.398,3.31258,35.3623,30.0402,134.301,159.212,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.25,4.2062,42.946,34.8936,138.069,163.418,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.228,6.95868,70.5684,56.9487,143.199,170.376,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.304,6.83684,70.9652,58.6173,148.82,177.213,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,3.524,4.66439,51.6393,45.4942,153.445,181.878,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.682,4.08407,47.2418,43.4861,157.396,185.962,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,3.534,3.84929,42.7363,37.7575,161.056,189.811,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,3.192,4.2735,42.8545,34.1979,165.292,194.085,1,,,,,,,,,,,,0.02,,,,,
,,,,,404.1,810.1,313.33,2.972,5.71389,53.3495,39.6387,170.424,199.798,1,,,,,,,,,,,,0.01,,,,,
,,,,,404.1,810.1,313.33,2.944,5.80097,53.6523,39.4881,175.243,205.599,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.838,4.79705,42.7697,30.3451,179.313,210.396,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.764,4.7181,40.969,28.3096,183.551,215.115,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.918,4.84224,44.3896,32.3822,188.105,219.957,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.104,5.25761,51.2696,39.7852,193.244,225.214,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.18,6.00463,59.9879,47.6903,198.933,231.219,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,3.17,5.8672,58.4305,46.3062,204.567,237.086,1,,,,,,,,,,,,-0.01,,,,,
,,,,,404.1,810.1,313.33,3.012,5.07954,48.065,36.1929,209.64,242.166,1,,,,,,,,,,,,-0.01,,,,,
,,,,,404.1,810.1,313.33,2.68,4.92801,41.4912,27.7991,214.475,247.094,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.37,4.86893,36.252,21.4793,219.084,251.963,1,,,,,,,,,,,,0,,,,,
,,,,,404.1,810.1,313.33,2.206,5.13821,35.6096,19.6387,223.589,257.101,1,,,,,,,,,,,,0,,,,,
